STT,Tên học phần,Số tín chỉ,Tên lớp tín chỉ,Thời gian,Thứ,Tiết,Số lượng,Giáo viên
1,Công nghệ Web,3.0,TH4309_20CN1,04/09/2023-15/10/2023,2,8-12,50.0,Nguyễn Quốc Huy
,,,,04/09/2023-15/10/2023,5,8-12,34.0,
2,Công nghệ Web,3.0,TH4309_20CN2,04/09/2023-15/10/2023,4,8-12,0.0,Nguyễn Hồng Thanh
,,,,04/09/2023-15/10/2023,7,8-12,-16.0,
3,Công nghệ Web,3.0,TH4309_20CN3,04/09/2023-15/10/2023,3,8-12,50.0,Nguyễn Hồng Thanh
,,,,04/09/2023-15/10/2023,6,8-12,34.0,
4,Công nghệ Web,3.0,TH4309_20CN4,04/09/2023-15/10/2023,3,8-12,0.0,Phạm Trọng Tuấn
,,,,04/09/2023-15/10/2023,7,8-12,-16.0,
5,Công nghệ Web,3.0,TH4309_20CN5,04/09/2023-15/10/2023,2,8-12,50.0,Phạm Trọng Tuấn
,,,,04/09/2023-15/10/2023,4,8-12,34.0,
