STT,Tên học phần,Số tín chỉ,Tên lớp tín chỉ,Thời gian,Thứ,Tiết,Số lượng,Giáo viên
1,Đồ họa và hiện thực ảo,3,TH5216_20CN1,13/11/2023-07/01/2024,3,8-12,0,Nguyễn Thị Nguyệt
,,,,11/12/2023-07/01/2024,7,8-12,,
2,Đồ họa và hiện thực ảo,3,TH5216_20CN2,13/11/2023-07/01/2024,2,8-12,0,Nguyễn Mạnh Hùng
,,,,11/12/2023-07/01/2024,5,8-12,,
3,Đồ họa và hiện thực ảo,3,TH5216_20CN3,13/11/2023-07/01/2024,2,8-12,0,Nguyễn Thị Nguyệt
,,,,11/12/2023-07/01/2024,4,8-12,,
4,Đồ họa và hiện thực ảo,3,TH5216_20CN4,13/11/2023-07/01/2024,4,8-12,0,Phạm Trọng Tuấn
,,,,11/12/2023-07/01/2024,7,8-12,,
5,Đồ họa và hiện thực ảo,3,TH5216_20CN5,13/11/2023-07/01/2024,3,1-6,50,Phạm Trọng Tuấn
,,,,11/12/2023-07/01/2024,6,1-6,,
