STT,Tên học phần,Số tín chỉ,Tên lớp tín chỉ,Thời gian,Thứ,Tiết,Phòng,Giáo viên
1,Công nghệ Web,3,TH4309_19CN 5,05/09/2024-16/10/2024,4,8-12,I-I.702,Nguyễn Hồng Thanh
,,,,,7,8-12,I-I.701,
2,Công nghệ Java,3,TH4316_20CN 3,05/09/2024-30/10/2024,4,2-6,I-I.703,Nguyễn Hồng Thanh
,,,,03/10/2024-30/10/2024,7,2-6,I-I.703,
3,Mạng máy tính,3,TH5206_20CN 3,05/09/2024-23/10/2024,6,4-6,H-H 9. 05,Bùi Hải Phong
,,,,05/09/2024-30/10/2024,3,4-6,H-H 9. 05,
4,Công nghệ phần mềm,3,TH4306_20CN 3,05/09/2024-23/10/2024,5,7-9,Ngoài Trường-Online,Nguyễn Hồng Thanh
,,,,05/09/2024-30/10/2024,2,7-9,Ngoài Trường-Online,
5,Phân tích và thiết kế hệ thống thông tin,3,TH5208_20CN 3,14/11/2024-01/01/2025,6,1-3,H-H 9. 05,Trần Văn Thắng
,,,,14/11/2024-08/01/2025,3,1-3,H-H 9. 05,
6,Xử lý ảnh,3,TH5209_20CN 3,14/11/2024-01/01/2025,7,4-6,H-H 9. 03,Phạm Trọng Tuấn
,,,,14/11/2024-08/01/2025,3,4-6,H-H 9. 03,
7,Tiếng Anh Chuyên Ngành (CNTT),2,NN3703.3_CNTT_N1_01,05/09/2024-30/10/2024,5,1-3,Ngoài Trường-Online,Bùi Thị Ngọc Thủy
,,,,17/10/2024-30/10/2024,2,1-3,Ngoài Trường-Online,
8,Trí tuệ nhân tạo,3,TH4320_20CN3,14/11/2024-01/01/2025,4,4-6,Ngoài Trường-Online,Nguyễn Thị Huệ (TH)
,,,,14/11/2024-08/01/2025,2,4-6,Ngoài Trường-Online,
